"Options.SECTION[Water_Features.Water_Features.WaterFeaturesMod]","Water Features","","","","","","","","","","","",""
"Options.TAB[Water_Features.Water_Features.WaterFeaturesMod.Seasonal Streams]","Variation de l'eau selon les saisons","","","","","","","","","","","",""
"Options.TAB[Water_Features.Water_Features.WaterFeaturesMod.Water Tool]","Outils pour l'eau","","","","","","","","","","","",""
"Options.TAB[Water_Features.Water_Features.WaterFeaturesMod.Waves and Tides]","Vagues et Marées","","","","","","","","","","","",""
"Options.GROUP[Water_Features.Water_Features.WaterFeaturesMod.Seasonal Streams]","Variation de l'eau selon les saisons","","","","","","","","","","","",""
"Options.GROUP[Water_Features.Water_Features.WaterFeaturesMod.Water Tool]","Outils pour l'eau","","","","","","","","","","","",""
"Options.GROUP[Water_Features.Water_Features.WaterFeaturesMod.Waves and Tides]","Vagues et Marées","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.IncludeRetentionBasins]","Ajouter un bassin de rétention d'eau (Redémarrage requis)","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.IncludeRetentionBasins]","Source d'eau qui augmente avec les précipitations et la fonte des neiges et s'écoule lentement lorsque le temps est sec et chaud. La source d'eau a un seuil maximum et minimum pour ce qui est de la variation. Il faudra peut-être ajuster le taux d'évaporation de l'eau dans les paramètres afin d'avoir le taux d'infiltration désiré dans un étang d'eau.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.IncludeDetentionBasins]","Ajouter un bassin de rétention d'eau (Redémarrage requis)","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.IncludeDetentionBasins]","Source d'eau qui augmente avec les précipitations et la fonte des neiges et s'écoule lentement lorsque le temps est sec et chaud. La source d'eau a un seuil maximum et minimum pour ce qui est de la variation. Il faudra peut-être ajuster le taux d'évaporation de l'eau dans les paramètres afin d'avoir le taux d'infiltration désiré dans un étang d'eau.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TrySmallerRadii]","Essayer un rayon plus petit","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TrySmallerRadii]","Vous permet d'essayer de créer une source d'eau avec un rayon inférieur à 5 m. Cela ne fonctionnera pas toujours, mais va permettre d'avoir un rayon pour rendre le tout possible.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EvaporationRate]","Taux d'évaporation","","","","","","","","","","","",""
