"Options.SECTION[Water_Features.Water_Features.WaterFeaturesMod]","Water Features","","","","","","","","","","","",""
"Options.TAB[Water_Features.Water_Features.WaterFeaturesMod.Seasonal Streams]","계절 하천","","","","","","","","","","","",""
"Options.TAB[Water_Features.Water_Features.WaterFeaturesMod.Water Tool]","물 도구","","","","","","","","","","","",""
"Options.TAB[Water_Features.Water_Features.WaterFeaturesMod.Waves and Tides]","파도및 조수","","","","","","","","","","","",""
"Options.GROUP[Water_Features.Water_Features.WaterFeaturesMod.Seasonal Streams]","계절 하천","","","","","","","","","","","",""
"Options.GROUP[Water_Features.Water_Features.WaterFeaturesMod.Water Tool]","물 도구","","","","","","","","","","","",""
"Options.GROUP[Water_Features.Water_Features.WaterFeaturesMod.Waves and Tides]","파도및 조수","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.IncludeRetentionBasins]","저수지 추가 (게임 재실행 필요)","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.IncludeRetentionBasins]","강수량과 눈이 녹으면 상승하고 날씨가 건조하면 천천히 배수되는 맞춤형 커스텀 수원입니다. 그들은 최대 수면 높이와 최소 수면 높이를 가지고 있습니다. 연못 물의 바람직한 흐름를 위해 설정에서 전체 증발 속도를 조정해야 할 수도 있습니다.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.IncludeDetentionBasins]","유수지 추가 (게임 재실행 필요)","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.IncludeDetentionBasins]","강수량과 눈이 녹으면 상승하고 날씨가 건조하면 천천히 배수되는 맞춤형 커스텀 수원입니다. 그들은 최대 수면 높이와 최소 수면 높이를 가지고 있습니다. 연못 물의 바람직한 흐름를 위해 설정에서 전체 증발 속도를 조정해야 할 수도 있습니다.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TrySmallerRadii]","작은 반경 시도","","","","","","","","","","","",""
