key	de-DE	en-US	es-ES	fr-FR	it-IT	ja-JP	ko-KR	pl-PL	pt-BR	ru-RU	zh-HANS	zh-HANT	
Options.SECTION[Water_Features.Water_Features.WaterFeaturesMod]	Water Features	Water Features	Water Features	Water Features	Water Features	Water Features	Water Features	Water Features	Water Features	Water Features	Water Features	Water Features	
Options.TAB[Water_Features.Water_Features.WaterFeaturesMod.Seasonal Streams]	Saisonale Wasserflüsse	Seasonal Streams	Corrientes estacionales	Seasonal Streams	Seasonal Streams	Seasonal Streams	Seasonal Streams	Strumienie sezonowe	Fluxos Sazonais	Seasonal Streams	Seasonal Streams	Seasonal Streams	
Options.TAB[Water_Features.Water_Features.WaterFeaturesMod.Water Tool]	Wasserwerkzeug	Water Tool	Herramienta de agua	Water Tool	Water Tool	Water Tool	Water Tool	Narzędzie wody	Ferramenta de Água	Water Tool	Water Tool	Water Tool	
Options.TAB[Water_Features.Water_Features.WaterFeaturesMod.Waves and Tides]	Wellen und Gezeiten	Waves and Tides	Olas y mareas	Waves and Tides	Waves and Tides	Waves and Tides	Waves and Tides	Fale i pływy	Ondas e Marés	Waves and Tides	Waves and Tides	Waves and Tides	
Options.GROUP[Water_Features.Water_Features.WaterFeaturesMod.Seasonal Streams]	Saisonale Wasserflüsse	Seasonal Streams	Corrientes estacionales	Seasonal Streams	Seasonal Streams	Seasonal Streams	Seasonal Streams	Strumienie sezonowe	Fluxos Sazonais	Seasonal Streams	Seasonal Streams	Seasonal Streams	
Options.GROUP[Water_Features.Water_Features.WaterFeaturesMod.Water Tool]	Wasserwerkzeug	Water Tool	Herramienta de agua	Water Tool	Water Tool	Water Tool	Water Tool	Narzędzie wody	Ferramenta de Água	Water Tool	Water Tool	Water Tool	
Options.GROUP[Water_Features.Water_Features.WaterFeaturesMod.Waves and Tides]	Wellen und Gezeiten	Waves and Tides	Olas y mareas	Waves and Tides	Waves and Tides	Waves and Tides	Waves and Tides	Fale i pływy	Ondas e Marés	Waves and Tides	Waves and Tides	Waves and Tides	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.IncludeRetentionBasins]	Füge Speicherbecken hinzu (Neustart erforderlich)	Add Retention Basins (Restart Required)	Añadir cuencas de retención (requiere reiniciar)	Add Retention Basins (Restart Required)	Add Retention Basins (Restart Required)	Add Retention Basins (Restart Required)	Add Retention Basins (Restart Required)	Dodaj zbiorniki retencyjne (Restart wymagany)	Adicionar bacias de retenção (requer reinicialização)	Add Retention Basins (Restart Required)	Add Retention Basins (Restart Required)	Add Retention Basins (Restart Required)	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.IncludeRetentionBasins]	Individuell angepasste Wasserquelle, die mit Niederschlag und Schneeschmelze aufsteigt und langsam abfließt, wenn das Wetter trocken ist. Sie haben eine maximale Wasseroberflächenhöhe und eine minimale Wasseroberfläche. Möglicherweise müssen Sie die globale Verdunstungsrate in den Einstellungen für wünschenswerte Infiltration des Teichwassers anpassen.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation and a minimum water surface elevation. You may need to adjust the global evaporation rate in the settings for desirable infiltration of the pond water.	Fuente de agua modificado que se levanta con precisión y nieve y lentamente drena cuando el clima está seco. Tienen una elevación máxima de la superficie del agua y una elevación mínima de la superficie del agua. Es posible que necesite ajustar la tasa global de evaporación en los ajustes para la infiltración deseable del agua del estanque.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation and a minimum water surface elevation. You may need to adjust the global evaporation rate in the settings for desirable infiltration of the pond water.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation and a minimum water surface elevation. You may need to adjust the global evaporation rate in the settings for desirable infiltration of the pond water.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation and a minimum water surface elevation. You may need to adjust the global evaporation rate in the settings for desirable infiltration of the pond water.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation and a minimum water surface elevation. You may need to adjust the global evaporation rate in the settings for desirable infiltration of the pond water.	Niestandardowe, źródło wody, które podnosi się wraz z opadami atmosferycznymi oraz topnieniem śniegu i maleje, gdy jest sucho. Mają maksymalny poziom i minimalny poziom wody. Może być konieczne dostosowanie globalnej szybkości parowania wody w ustawieniach w celu uzyskania pożądanego napływu wody do zbiornika.	Fonte de água modificada que sobe com precipitação e degelo, e drena lentamente quando o tempo está seco. Têm uma elevação máxima da superfície de água e uma elevação mínima da superfície de água. Poderá ser necessário ajustar a taxa de evaporação global nas configurações para um nível adequado da lagoa.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation and a minimum water surface elevation. You may need to adjust the global evaporation rate in the settings for desirable infiltration of the pond water.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation and a minimum water surface elevation. You may need to adjust the global evaporation rate in the settings for desirable infiltration of the pond water.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation and a minimum water surface elevation. You may need to adjust the global evaporation rate in the settings for desirable infiltration of the pond water.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.IncludeDetentionBasins]	Füge Hochwasserrückhaltebecken hinzu (Neustart erforderlich)	Add Detention Basins (Restart Required)	Añadir cuencas de detención (Requiere reiniciar)	Add Detention Basins (Restart Required)	Add Detention Basins (Restart Required)	Add Detention Basins (Restart Required)	Add Detention Basins (Restart Required)	Dodaj poldery przeciwpowodziowe (Restart wymagany)	Adicionar bacias de retenção (requer reinicialização)	Add Detention Basins (Restart Required)	Add Detention Basins (Restart Required)	Add Detention Basins (Restart Required)	
