"Options.SECTION[Water_Features.Water_Features.WaterFeaturesMod]","Water Features","","","","","","","","","","","",""
"Options.TAB[Water_Features.Water_Features.WaterFeaturesMod.Seasonal Streams]","Fluxos Sazonais","","","","","","","","","","","",""
"Options.TAB[Water_Features.Water_Features.WaterFeaturesMod.Water Tool]","Ferramenta de Água","","","","","","","","","","","",""
"Options.TAB[Water_Features.Water_Features.WaterFeaturesMod.Waves and Tides]","Ondas e Marés","","","","","","","","","","","",""
"Options.GROUP[Water_Features.Water_Features.WaterFeaturesMod.Seasonal Streams]","Fluxos Sazonais","","","","","","","","","","","",""
"Options.GROUP[Water_Features.Water_Features.WaterFeaturesMod.Water Tool]","Ferramenta de Água","","","","","","","","","","","",""
"Options.GROUP[Water_Features.Water_Features.WaterFeaturesMod.Waves and Tides]","Ondas e Marés","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.IncludeRetentionBasins]","Adicionar bacias de retenção (requer reinicialização)","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.IncludeRetentionBasins]","Fonte de água modificada que sobe com precipitação e degelo, e drena lentamente quando o tempo está seco. Têm uma elevação máxima da superfície de água e uma elevação mínima da superfície de água. Poderá ser necessário ajustar a taxa de evaporação global nas configurações para um nível adequado da lagoa.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.IncludeDetentionBasins]","Adicionar bacias de retenção (requer reinicialização)","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.IncludeDetentionBasins]","Fonte de água modificada que sobe com precipitação e degelo, e drena lentamente quando o tempo está seco. Têm uma elevação máxima da superfície de água, mas não tem uma elevação mínima da superfície de água. Poderá ser necessário ajustar a taxa de evaporação global nas configurações para um nível adequado da lagoa.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TrySmallerRadii]","Tente uma área menor","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TrySmallerRadii]","Permite fazer uma fonte de água com um raio menor que 5 metros. Nem sempre funcionará, mas será aumentada para um raio que funcione.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EvaporationRate]","Taxa de Evaporação","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EvaporationRate]","Deixe o padrão, a menos que você esteja utilizando as bacias de retenção ou detenção. A taxa real de evaporação é 1000x menor, mas isso lhe dá controle sobre a taxa. Essa é uma configuração global e você pode querer reequilibrar e aumentar os fluxos de fontes de água após o seu aumento.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableSeasonalStreams]","Ativar Fluxos Sazonais","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableSeasonalStreams]","Fluxos sazonais pegam riachos (Fontes de Água de Taxa Constante Modificadas) e os juntam as estações e clima do mapa. Por exemplo, se o seu mapa apresentar um verão seco, essas fontes de água irão diminuir durante o verão. Fluxos sazonais por conta própria não devem causar inundação uma vez que trata a quantidade de água padrão do mapa como um máximo, a menos que você a altere. Todos os aspectos são opcionais e ajustáveis nas configurações do mod.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.SimulateSnowMelt]","Simular degelo","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.SimulateSnowMelt]","Simula a acumulação de neve e os degelos. Os degelos não estão atualmente ligados ao visual da neve. Isso afeta as fontes de água constante e as bacias de retenção e detenção.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ConstantFlowRate]","Taxa de fluxo constante","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ConstantFlowRate]","Vazão constante do riacho (fontes de água da taxa constante modificadas) não afetadas pela estação ou pelo clima.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamSeasonality]","Temporada","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamSeasonality]","A vazão do riacho (Fontes de Água da Taxa Constante Modificadas) aumentará nesta porcentagem durante a estação com a precipitação sazonal mais alta. Outras estações serão proporcionais.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamStormwaterEffects]","Efeitos de Águas pluviais","","","","","","","","","","","",""
