"Options.SECTION[Water_Features.Water_Features.WaterFeaturesMod]","Water Features","","","","","","","","","","","",""
"Options.TAB[Water_Features.Water_Features.WaterFeaturesMod.Seasonal Streams]","Сезонные потоки","","","","","","","","","","","",""
"Options.TAB[Water_Features.Water_Features.WaterFeaturesMod.Water Tool]","Water Tool","","","","","","","","","","","",""
"Options.TAB[Water_Features.Water_Features.WaterFeaturesMod.Waves and Tides]","Волны и приливы","","","","","","","","","","","",""
"Options.GROUP[Water_Features.Water_Features.WaterFeaturesMod.Seasonal Streams]","Сезонные потоки","","","","","","","","","","","",""
"Options.GROUP[Water_Features.Water_Features.WaterFeaturesMod.Water Tool]","Water Tool","","","","","","","","","","","",""
"Options.GROUP[Water_Features.Water_Features.WaterFeaturesMod.Waves and Tides]","Волны и приливы","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.IncludeRetentionBasins]","Добавить собирающие водохранилища (требуется перезапуск)","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.IncludeRetentionBasins]","Настраиваемый источник воды, уровень которого повышается с выпадением осадков и таянием снега и который медленно истощается в сухую погоду. Он имеет максимальную и минимальную высоту поверхности воды. Возможно, Вам потребуется настроить общую скорость испарения в настройках для обеспечения желаемого уровня инфильтрации воды в пруду.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.IncludeDetentionBasins]","Добавить удерживающие водохранилища (требуется перезапуск)","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.IncludeDetentionBasins]","Нестандартный источник воды, уровень которого повышается с выпадением осадков и таянием снега и который медленно истощается в сухую погоду. У него есть максимальная высота поверхности воды, но нет минимальной высоты поверхности воды. Возможно, вам потребуется отрегулировать общую скорость испарения в настройках для обеспечения желаемого уровня инфильтрации воды в пруду.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TrySmallerRadii]","Использовать меньшие радиусы","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TrySmallerRadii]","Позволяет вам попытаться создать источник воды с радиусом менее 5 м. Это не всегда будет работать, но будет увеличено до радиуса, который действительно работает.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EvaporationRate]","Скорость испарения","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EvaporationRate]","Вероятно, следует оставить значение по умолчанию, если только вы не используете резервуары для хранения воды. Фактическая скорость испарения в 1000 раз меньше, но это дает вам возможность контролировать скорость. Это глобальная настройка, и после ее увеличения вам можете потребоваться сбалансировать и увеличить потоки воды из источников.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableSeasonalStreams]","Включить сезонные потоки","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableSeasonalStreams]","Сезонные потоки используют Потоки (модифицированные источники воды с постоянным расходом) и привязывают их к климату и погоде на карте. Например, если на вашей карте засушливое лето, то количество этих источников воды будет уменьшаться в течение лета. Сезонные потоки сами по себе не должны вызывать наводнений, поскольку количество воды в источнике по умолчанию на карте считается максимальным, если вы не измените его. Все аспекты являются необязательными и настраиваются в настройках мода.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.SimulateSnowMelt]","Имитация таяния снега","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.SimulateSnowMelt]","Имитирует накопление и таяние снега. В настоящее время таяние снега не привязано к визуальным эффектам снега. Это влияет на источники воды с постоянным скоростью потока, резервуары для сбора и удержания влаги.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ConstantFlowRate]","Постоянная скорость потока","","","","","","","","","","","",""
