"Options.SECTION[Water_Features.Water_Features.WaterFeaturesMod]","Water Features","","","","","","","","","","","",""
"Options.TAB[Water_Features.Water_Features.WaterFeaturesMod.Seasonal Streams]","季節性溪流","","","","","","","","","","","",""
"Options.TAB[Water_Features.Water_Features.WaterFeaturesMod.Water Tool]","水工具","","","","","","","","","","","",""
"Options.TAB[Water_Features.Water_Features.WaterFeaturesMod.Waves and Tides]","波浪與潮汐","","","","","","","","","","","",""
"Options.GROUP[Water_Features.Water_Features.WaterFeaturesMod.Seasonal Streams]","季節性溪流","","","","","","","","","","","",""
"Options.GROUP[Water_Features.Water_Features.WaterFeaturesMod.Water Tool]","水工具","","","","","","","","","","","",""
"Options.GROUP[Water_Features.Water_Features.WaterFeaturesMod.Waves and Tides]","波浪與潮汐","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.IncludeRetentionBasins]","新增滯留盆地（需要重新啟動）","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.IncludeRetentionBasins]","自訂模組水源，隨降水和融雪上升，天氣乾燥時慢慢排水。它們有最大水面高度和最小水面高度。你可能需要在設置中調整全局蒸發速率以實現池塘水的理想滲透。","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.IncludeDetentionBasins]","新增滯洪池（需要重新啟動）","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.IncludeDetentionBasins]","自訂模組水源，隨降水和融雪上升，天氣乾燥時慢慢排水。它們有最大水面高度，但沒有最小水面高度。你可能需要在設置中調整全局蒸發速率以實現池塘水的理想滲透。","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TrySmallerRadii]","嘗試較小的半徑","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TrySmallerRadii]","讓你嘗試製作半徑小於5米的水源。這並不總是有效，但會增加到一個有效的半徑。","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EvaporationRate]","蒸發速率","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EvaporationRate]","除非使用滯洪池或滯留盆地，否則應保持默認設置。實際蒸發速率要小1000倍，但這讓你可以控制速率。這是全局設置，你可能需要在增加後重新平衡和增加水源流量。","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableSeasonalStreams]","開啟季節性溪流功能","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableSeasonalStreams]","季節性溪流將流（修改的恆定速率水源）與地圖的氣候和天氣聯繫起來。例如，如果你的地圖特徵是乾燥的夏季，那麼這些水源在夏季會減少。季節性溪流本身不應該造成洪水，因為它將地圖的默認水源量視為最大值，除非你更改它。所有方面在模組設置中都是可選和可調整的。","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.SimulateSnowMelt]","模擬雪融化","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.SimulateSnowMelt]","模擬積雪和雪融化。雪融化目前不與雪視覺效果聯繫起來。這影響恆定速率水源、滯洪池和滯留盆地。","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ConstantFlowRate]","恆定流量","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ConstantFlowRate]","來自流（修改的恆定速率水源）的恆定流量，不受季節或天氣影響。","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamSeasonality]","季節性","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamSeasonality]","在最高平均季節降水量的季節，流（修改的恆定速率水源）流量將增加此百分比。其他季節將按比例增加。","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamStormwaterEffects]","雨水效果","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamStormwaterEffects]","當當前降水（雨）達到最大值時，流（修改的恆定速率水源）流量將增加此百分比。較少的降水按比例增加。","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MinimumMultiplier]","最小乘數","","","","","","","","","","","",""
